"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/19/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/20/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/21/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/22/2022","AQS","060370002","1","0.2","ppm","2","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/23/2022","AQS","060370002","1","0.2","ppm","2","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/24/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/25/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/26/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/27/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/28/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/01/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/02/2022","AQS","060370002","1","0.5","ppm","6","Azusa","17","71.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/03/2022","AQS","060370002","1","0.5","ppm","6","Azusa","14","58.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/04/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/05/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/06/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/07/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/08/2022","AQS","060370002","1","0.3","ppm","3","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/09/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/10/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/11/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/12/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/13/2022","AQS","060370002","1","0.4","ppm","5","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/14/2022","AQS","060370002","1","0.5","ppm","6","Azusa","24","100.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/15/2022","AQS","060370002","1","0.8","ppm","9","Azusa","12","50.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/25/2022","AQS","060370002","1","0.7","ppm","8","Azusa","21","88.0000","42101","Carbon monoxide","158","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
